repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,4.112008333206177,1000.0,243.1901686396363,0.428,0.028579993002098514,0.026,0.031612086296225375,1000,1000,8169,3,28,19
1,1000,1000,1000,1.0,1.9985930919647217,1000.0,500.3519746067708,0.464,0.028012568607680373,0.092,0.031488664627132096,1000,1000,7848,3,28,19
2,1000,1000,1000,1.0,2.4797823429107666,1000.0,403.2611986527014,0.458,0.028111136583212,0.068,0.03154958002890054,1000,1000,7903,3,28,19
0,1000,1000,1000,1.0,3.065828323364258,1000.0,326.1761242073266,0.454,0.028175947189047614,0.134,0.03133758127233179,1000,1000,7939,3,28,19
1,1000,1000,1000,1.0,1.9917404651641846,1000.0,502.0734465610043,0.44,0.028397182958878157,0.062,0.03156193910392706,1000,1000,8064,3,28,19
2,1000,1000,1000,1.0,2.1143410205841064,1000.0,472.9606010877757,0.386,0.029171972850666097,0.036,0.03160227839887498,1000,1000,8511,3,28,19
