repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,772,0.772,8.382290840148926,772.0,92.09892793296159,0.8186528497409327,0.020669102607636044,0.8341968911917098,0.019847721666344274,772,772,4273,3,25,18
1,1000,1000,794,0.794,5.3882598876953125,794.0,147.3574060176991,0.8387909319899244,0.01932193688144962,0.8413098236775819,0.01918351584908212,794,794,3734,3,25,18
2,1000,1000,779,0.779,4.135120630264282,779.0,188.38628172020532,0.8305519897304237,0.019954485835231118,0.8408215661103979,0.01939452875893952,779,779,3982,3,25,18
