architecture,description,execution_time_s,throughput_samples_s,qubits,single_qubit_gates,two_qubit_gates,total_gates,success_probability,environment,device_used,timestamp
Quantum_LCU_Linear,Linear combination of token unitaries (basic mixing),8.209840297698975,92.92289875653364,3,25,18,43,0.7186666666666667,braket_quantum,iqm_emerald,2025-12-01 00:39:24
Quantum_QSVT_Single,Nonlinear transform on single unitary (feature transformation),6.80244509379069,150.65176387960184,3,28,19,47,1.0,braket_quantum,iqm_emerald,2025-12-01 00:39:24
Quantum_QSVT_Full,Full nonlinear transform on mixed unitaries (complete attention),8.016013701756796,88.17739254177103,4,69,54,123,0.7066666666666666,braket_quantum,iqm_emerald,2025-12-01 00:39:24
