repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,4.247137069702148,1000.0,235.4527258217569,-0.092,0.031488664627132096,-0.178,0.031117776270164293,1000,1000,9916,4,69,54
1,1000,1000,1000,1.0,2.0955286026000977,1000.0,477.20656199071504,-0.028,0.031610378042661876,-0.186,0.0310709510636543,1000,1000,9993,4,69,54
2,1000,1000,1000,1.0,2.2505593299865723,1000.0,444.3339869675715,-0.086,0.03150561854653865,-0.184,0.031082857011542554,1000,1000,9927,4,69,54
0,1000,1000,649,0.649,3.095860242843628,649.0,209.63478616330454,0.08166409861325115,0.03912232357421312,-0.15254237288135594,0.03879404796998996,649,649,15306,4,69,54
1,1000,1000,674,0.674,2.8735790252685547,674.0,234.55070978499026,0.19287833827893175,0.037795285424646566,-0.13056379821958458,0.03818883843093384,674,674,14285,4,69,54
2,1000,1000,635,0.635,2.1505613327026367,635.0,295.27174619195245,0.12440944881889764,0.03937548477980944,-0.13070866141732285,0.03934333520343577,635,635,15505,4,69,54
