repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,703,0.703,8.167101621627808,703.0,86.07704820745002,0.7354196301564723,0.02555661908233668,0.7268847795163584,0.025901622540373332,703,703,6532,4,69,54
1,1000,1000,718,0.718,7.933578968048096,718.0,90.50139954384926,0.7158774373259053,0.026057561489187853,0.724233983286908,0.02573393804846863,718,718,6790,4,69,54
2,1000,1000,699,0.699,7.947360515594482,699.0,87.95372987401379,0.7682403433476395,0.024213132524070168,0.7367668097281831,0.02557422556000892,699,699,5863,4,69,54
