repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,9.836929321289062,1000.0,101.65773966026187,0.812,0.018456868640156703,0.61,0.025057932875638404,1000,1000,3407,3,28,19
1,1000,1000,1000,1.0,5.2424774169921875,1000.0,190.74951029044942,0.808,0.018631586083852333,0.562,0.026156375895754366,1000,1000,3472,3,28,19
2,1000,1000,1000,1.0,6.738898277282715,1000.0,148.39220876371857,0.772,0.0201001492531772,0.538,0.026656256301288823,1000,1000,4041,3,28,19
