repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,2.2587685585021973,1000.0,442.7191073808402,0.772,0.0201001492531772,0.76,0.020552372125864207,1000,1000,4041,4,69,54
1,1000,1000,1000,1.0,1.837109088897705,1000.0,544.3334889818742,0.736,0.021408035874409405,0.72,0.021945386758952325,1000,1000,4584,4,69,54
2,1000,1000,1000,1.0,2.971541404724121,1000.0,336.5256827349644,0.732,0.021544744138652473,0.726,0.021746815858879203,1000,1000,4642,4,69,54
