repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,765,0.765,7.948315143585205,765.0,96.24681283773751,0.8588235294117647,0.018521217133056614,0.8405228758169935,0.019587954656337482,765,765,3431,4,69,54
1,1000,1000,756,0.756,6.628457069396973,756.0,114.05369184487718,0.8412698412698413,0.01966199346447636,0.8227513227513228,0.02067256255220431,756,756,3866,4,69,54
2,1000,1000,770,0.77,5.448146820068359,770.0,141.33246137267986,0.8103896103896104,0.02111405881645316,0.8155844155844156,0.020852669985568957,770,770,4459,4,69,54
