repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,3.375824213027954,1000.0,296.2239550687527,0.764,0.020403529106505083,0.712,0.022204864331943127,1000,1000,4164,3,25,18
1,1000,1000,1000,1.0,2.408008337020874,1000.0,415.28095423339533,0.814,0.018368560095990107,0.752,0.02084456763763643,1000,1000,3375,3,25,18
2,1000,1000,1000,1.0,1.9250030517578125,1000.0,519.4796959344309,0.782,0.01970979451947686,0.75,0.020916500663351892,1000,1000,3885,3,25,18
