repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,713,0.713,11.204590082168579,713.0,63.63463498184516,-0.029453015427769985,0.03743404709649675,0.5708274894810659,0.030749313889944035,713,713,14014,3,25,18
1,1000,1000,734,0.734,6.578028678894043,734.0,111.58358162150893,-0.027247956403269755,0.036896968796432485,0.5204359673024523,0.03151804992865396,734,734,13614,3,25,18
2,1000,1000,709,0.709,6.846902132034302,709.0,103.55047966624683,-0.06064880112834979,0.037486654379780694,0.5966149506346967,0.030139557872864237,709,709,14053,3,25,18
