repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,5.788434743881226,1000.0,172.75827477489815,-0.208,0.03093114934818944,0.076,0.03153131776504116,1000,1000,9568,3,25,18
1,1000,1000,1000,1.0,1.9972224235534668,1000.0,500.69535981916107,-0.228,0.030789868463505978,0.124,0.031378718903103744,1000,1000,9481,3,25,18
2,1000,1000,1000,1.0,2.110226631164551,1000.0,473.88275042673473,-0.29,0.03026383980925091,0.064,0.03155794670126686,1000,1000,9159,3,25,18
0,1000,1000,413,0.413,4.514824628829956,413.0,91.47642133489279,-0.3559322033898305,0.04598431848166184,0.09443099273607748,0.04898689817453661,413,413,21146,3,25,18
1,1000,1000,421,0.421,2.0238776206970215,421.0,208.016530097807,-0.29691211401425177,0.046539212811361114,0.026128266033254157,0.04872037899572583,421,421,21659,3,25,18
2,1000,1000,437,0.437,2.0560784339904785,437.0,212.5405299601638,-0.2814645308924485,0.045902536232843794,0.08009153318077804,0.047682813235601126,437,437,21071,3,25,18
