repeat,shots_requested,shots_total_recorded,shots_kept,postselect_prob,wall_time_s,effective_useful_samples,throughput_useful_s_per_s,z0_mean,z0_sem,z1_mean,z1_sem,z0_N,z1_N,shots_needed_for_0.01_on_z0,n_qubits,one_q_gates,two_q_gates_est
0,1000,1000,1000,1.0,2.1766533851623535,1000.0,459.4208737214315,0.838,0.017255607784137886,0.628,0.024609266547380073,1000,1000,2978,3,28,19
1,1000,1000,1000,1.0,2.9577763080596924,1000.0,338.0918284033461,0.872,0.015479534876733219,0.614,0.024960048076876774,1000,1000,2397,3,28,19
2,1000,1000,1000,1.0,2.3327574729919434,1000.0,428.67722494847357,0.882,0.014902214600521628,0.634,0.024454938151629007,1000,1000,2221,3,28,19
